,terms_count_study,terms_count_ref,global_freq,delta_f,simple_score,entropy_score
poisson,233.0,188.0,0.0191703474340877,0.03694887767976411,0.006362448362625125,0.08707473689358083
tomate,160.0,207.0,0.016711443012613268,0.020817255410424104,0.0035931769150954985,0.045351177534581746
sauce,129.0,214.0,0.015618596603069078,0.014029321799822551,0.0024288510232083464,0.029666415109902512
lieu,47.0,9.0,0.0025499749556031144,0.00914449688043175,0.0015460110788204434,0.02955636274396362
filet,64.0,49.0,0.00514548517827057,0.010303394766941408,0.0017696146464640191,0.02476726208546823
meuniere,63.0,47.0,0.005008879377077546,0.01021458567508506,0.001753744778677928,0.024681153806770325
riz,92.0,143.0,0.010700787760120213,0.010567957063613588,0.0018309440079793033,0.022605213912191682
epinards,50.0,34.0,0.003824962433404672,0.008299878018348023,0.0014218221420711896,0.020487247836994064
basilic,31.0,6.0,0.0016848048813806293,0.006027744147997024,0.00100955432974202,0.019418239029998063
biologique,285.0,842.0,0.05131824598151268,0.009405088576871903,0.0016432166787898616,0.019117521520856967
galettes,44.0,31.0,0.0034151450298256,0.007240738454637576,0.0012400876092261925,0.017788223578142175
soja,30.0,8.0,0.0017303401484449706,0.005705030606108516,0.0009580869212949066,0.017217998930704758
carotte,100.0,213.0,0.014252538591138838,0.00812071972303018,0.001415754865707182,0.01687417109867588
omelette,45.0,42.0,0.003961568234597696,0.006803262533921559,0.0011708515329304978,0.01587021776925169
blanc,100.0,231.0,0.015072173398296982,0.00706814969788545,0.0012359469367364904,0.014634506603207365
pane,38.0,31.0,0.003141933427439552,0.006006170553403009,0.0010305364962136518,0.014399682195038765
oeuf,43.0,45.0,0.004007103501662037,0.006216311562652581,0.0010722507720115077,0.014243979307557842
beurre,70.0,141.0,0.009607941350576021,0.006158160317436254,0.0010763962647208172,0.01293384921668058
rapees,55.0,93.0,0.006739219525522517,0.005878593964735776,0.0010245765875549339,0.012587997871416231
courgette,35.0,34.0,0.003141933427439552,0.005213458265261603,0.0008977787457584592,0.012153472114844723
legumes,78.0,179.0,0.011702563635535722,0.005582158577110141,0.0009797141351148755,0.011627348583664796
creme,88.0,230.0,0.014480214926460544,0.004657490007924354,0.0008228179708301882,0.00967145564888458
citron,37.0,63.0,0.004553526706434133,0.003929173636273287,0.0006887100845824154,0.008512362768524993
kiwi,32.0,48.0,0.0036428213651473066,0.003777508739531753,0.0006598520156916171,0.008325045882910366
tortilla,19.0,12.0,0.0014115932789945814,0.003207751670479646,0.0005431235122246312,0.008229554815083896
basmati,23.0,22.0,0.00204908701789536,0.0034460358128889533,0.0005928764854644081,0.008167627546258912
belle,20.0,15.0,0.0015937343472519467,0.003238084649827953,0.0005518562878384592,0.008038341271163764
nantes,20.0,15.0,0.0015937343472519467,0.003238084649827953,0.0005518562878384592,0.008038341271163764
mais,34.0,59.0,0.004234779836983744,0.003545794135688164,0.0006230193473428279,0.007696157096979511
camembert,40.0,80.0,0.00546423204772096,0.003552363674253883,0.0006270980875431515,0.007597409272850419
taboule,22.0,24.0,0.002094622284959701,0.003123322271000444,0.000540130338407291,0.007272370453289385
plateau,10.0,1.0,0.0005008879377077546,0.0019991370562162394,0.000312981054161132,0.007049043111668254
pomme,122.0,373.0,0.02253995719684896,0.0032912906929371197,0.0005901752290150987,0.00687358442023405
terre,40.0,87.0,0.0057829789171713495,0.0031430308866975997,0.0005582197326086501,0.006708084812880398
