vert,verts,vertes,verte,
choux,chou,,,
blanc,blancs,blanche,,
mimolette,mimolettes,,,
fromage,fromages,,,
haricots,haricot,,,
roti,rotie,,,
yaourt,yaourts,,,
pate,pates,,,
oeuf ,oeufs ,,,
raisin,raisins,,,
concombre,concombres,,,
tomate,tomates,,,
confit,confites,confite,confits,
betterave,betteraves,,,
cube,cubes,,,
pomme,pommes,,,
plat,plats,,,
lentille,lentilles,,,
ile,iles,,,
fermier,fermiere,,,
cuit,cuites,cuits,cuite,cuits
carotte,carottes,,,
biscuit,biscuits,,,
filet,filets,,,
poisson,poissons,,,
petit,petits,,,
cuisine,cuisinees,cuisines,cuisinee,
fraise,fraises,,,
fume,fumee,,,
noisette,noisettes,,,
forestier,forestiere,,,
poire,poires,,,
aromatise,aromatises,,,
palet,palets,,,
galettes,galette,,,
lasagne,lasagnes,,,
poivre,poivres,,,
clementine,clementines,,,
coquillette,coquillettes,,,
grille,grillee,grillees,,
courgette,courgettes,,,
exotique,exotiques,,,
chipolata,chipolatas,,,
menu,menus,,,
bourguignon,bourguignonne,,,
suisse,suisses,,,
rillette,rillettes,,,
brocoli,brocolis,,,
rouge,rouges,,,
nectarine,nectarines,,,
peche,peches,,,
pilon,pilons,,,
rave,raves,,,
sec,secs,,,
poele,poelee,poeles,,
endive,endives,,,
crouton,croutons,,,
greve,greves,,,
surgele,surgelee,surgelees,surgeles,
cerise,cerises,,,
rissolee,rissolees,,,
citron,citrons,citronne,,
salsifi,salsifis,,,
chocolat,chocolats,,,
nicois,nicoise,,,
prune,prunes,,,
auge,auges,,,
emince,eminces,,,
ravioli,raviolis,,,
roule,roulade,,,
conventionnel,conventionnels,conventionnelles,,
douce,douces,,,
mogette,mogettes,,,
froid,froide,froides,froids,
celeri,celeris,,,
mixe,mixes,,,
beignet,beignets,,,
individuel,individuelle,,,
orange,oranges,,,
maraicher,maraichers,maraichere,,
escalope,escalopes,,,
saute,sautees,sautes,,
tortilla,tortillas,,,
maquereau,maquereaux,,,
litchi,litchis,,,
epice,epices,epicee,,
batonnet,batonnets,,,
sardine,sardines,,,
huile,huiles,,,
cereale,cereales,,,
reparti,repartis,repartie,,
dur,durs,,,
fleur,fleurs,,,
vegetal,vegetales,vegetale,,
rose,roses,,,
graine,graines,,,
farci,farcie,farcies,,
indien,indienne,,,
duchesse,duchesses,,,
cornichon,cornichons,,,
safran,safranee,,,
macaron,macarons,,,
crustace,crustaces,,,
fricasse,fricassee,,,
vermicelle,vermicelles,,,
ecole,ecoles,,,
boite,boites,,,
breton,bretonne,,,
crevette,crevettes,,,
patissier,patissiers,,,
flageolet,flageolets,,,
nem,nems,,,
provencal,provencale,,,
chinois,chinoise,,,
artichaut,artichauts,,,
chataigne,chataignes,,,
